"ntau","D2","pe"
35000,1,0
35100,1,0
35200,1,0
35300,1,0
35400,1,0
35500,1,0
35600,1,0
35700,1,0
35800,1,0
35900,1,0
36000,1,0
36100,1,0
36200,1,0
36300,1,0
36400,1,0
36500,1,0
36600,1,0
36700,1,0
36800,1,0
36900,1,0
37000,1,0
37100,1,0
37200,1,0
37300,1,0
37400,1,0
37500,1,0
37600,1,0
37700,1,0
37800,1,0
37900,1,0
38000,1,0
38100,1,0
38200,1,0
38300,1,0
38400,1,0
38500,1,0
38600,1,0
38700,1,0
38800,1,0
38900,1,0
39000,1,0
39100,1,0
39200,1,0
39300,1,0
39400,1,0
39500,1,0
39600,1,0
39700,1,0
39800,1,0
39900,1,0
40000,1,0
40100,1,0
40200,1,0
40300,1,0
40400,1,0
40500,1,0
40600,1,0
40700,1,0
40800,1,0
40900,1,0
41000,1,0
41100,1,0
41200,1,0
41300,1,0
41400,1,0
41500,1,0
41600,1,0.549302429593035
41700,1,0.547504757773002
41800,1,0.545971937571182
41900,1,0.544586625022086
42000,1,0.543429496481165
42100,1,0.542203802449528
42200,1,0.540910893985482
42300,1,0.539749952913611
42400,1,0.538540951861842
42500,1,0.537497467491613
42600,1,0.536421301276529
42700,1,0.53531310756282
42800,1,0.534403653333525
42900,1,0.533238495747595
43000,1,0.532283804278683
43100,1,0.531309514634111
43200,1,0.530315392223019
43300,1,0.529301886129359
43400,1,0.528268951238614
43500,1,0.527217024428608
43600,1,0.526145954568077
43700,1,0.525330139741787
43800,1,0.524226068683447
43900,1,0.523385654505505
44000,1,0.522534978644488
44100,1,0.521384443635228
44200,1,0.520509382700096
44300,1,0.519624131248568
44400,1,0.518728640696745
44500,1,0.51782295593844
44600,1,0.516907122048736
44700,1,0.515981182617433
44800,1,0.515045084644312
44900,1,0.514099058187443
45000,1,0.513143141497992
45100,1,0.512177183635251
45200,1,0.511201221757178
45300,1,0.510545155443284
45400,1,0.509552849374377
45500,1,0.50855072437644
45600,1,0.50787720120915
45700,1,0.506858780476096
45800,1,0.505830622705365
45900,1,0.505139695534044
46000,1,0.504095371321531
46100,1,0.503393784356542
46200,1,0.502333365186711
46300,1,0.501621070691789
46400,1,0.500904505599663
46500,1,0.499821664761885
46600,1,0.499094451102195
46700,1,0.497995573699213
46800,1,0.497257839304661
46900,1,0.4965157776235
47000,1,0.495394663517891
47100,1,0.494642034822617
47200,1,0.493885187222169
47300,1,0.49312412484633
47400,1,0.491974637004485
47500,1,0.491203053447631
47600,1,0.490427267462344
47700,1,0.489647282244333
47800,1,0.48886310057235
