"n_tau","PE_before","PE_after"
16380.8093641997,0.860598369391362,0.860598369391362
20380.8093641997,0.81217085767427,0.871345969053719
24380.8093641997,0.783315475574955,0.864686022665394
28380.8093641997,0.759263357871837,0.855569536624164
32380.8093641997,0.736865465881268,0.845003007824538
36380.8093641997,0.717185612490118,0.833792035847181
40380.8093641997,0.69988427120678,0.822128131842838
44380.8093641997,0.683023034896419,0.810677206870869
48380.8093641997,0.666773525783404,0.798949735910081
52380.8093641997,0.652597229156129,0.787231189480814
56380.8093641997,0.638048125004896,0.775798937732257
60380.8093641997,0.625880545032908,0.763509655924817
64380.8093641997,0.613488246442163,0.751854352321795
68380.8093641997,0.600883605724523,0.74108473785331
72380.8093641997,0.590942367994307,0.729778338221686
76380.8093641997,0.579442704054048,0.717933581562216
80380.8093641997,0.569268236423363,0.707352760786576
84380.8093641997,0.560469806550048,0.696378521151567
88380.8093641997,0.551605398004669,0.685013401829077
92380.8093641997,0.542680408109624,0.673262217760477
96380.8093641997,0.533700454816529,0.663178887455517
