"n_tau","PE_before","PE_after"
48201.8265476562,0.266751417953373,0.266751417953373
52201.8265476562,0.23734545175555,0.261942683372405
56201.8265476562,0.21758688446228,0.249831288185196
60201.8265476562,0.200965655119231,0.237807983153208
64201.8265476562,0.186332104924396,0.225602258315748
68201.8265476562,0.173492770188658,0.214433792574996
72201.8265476562,0.161986249153737,0.204223710833823
76201.8265476562,0.15188075420194,0.193428625901681
80201.8265476562,0.14256698794477,0.184243383598105
84201.8265476562,0.134052189683781,0.174814945630181
88201.8265476562,0.126326176586621,0.166288423727605
92201.8265476562,0.119367069280133,0.157678985880353
96201.8265476562,0.112588035063792,0.150118724056809
