"n_tau","PE_before","PE_after"
6945.02146934835,0.840055048500423,0.840055048500423
10945.0214693484,0.752569628109272,0.782467690084217
14945.0214693484,0.684040759687191,0.723974115329315
18945.0214693484,0.625235818867508,0.669439451078449
22945.0214693484,0.575344693802487,0.619539368894025
26945.0214693484,0.52743741210331,0.574466336041061
30945.0214693484,0.489744240104125,0.534293732699256
34945.0214693484,0.454217575930784,0.49787009398927
38945.0214693484,0.421400730321348,0.463318873233889
42945.0214693484,0.391679412722167,0.433779862038756
46945.0214693484,0.365293304441671,0.404183363856241
50945.0214693484,0.342359810987442,0.38007554160111
54945.0214693484,0.319682509010051,0.356191828244382
58945.0214693484,0.300529411321692,0.33524550311504
62945.0214693484,0.281708925358624,0.314649905791997
66945.0214693483,0.266325529864859,0.294482588927302
70945.0214693483,0.251253397789185,0.279682472959909
74945.0214693483,0.236526522458084,0.262811010824961
78945.0214693483,0.222176999540406,0.248719482004644
82945.0214693483,0.210989198197047,0.23499542109991
86945.0214693483,0.200076189266688,0.221661264867817
90945.0214693483,0.189451033316424,0.208737025630358
94945.0214693483,0.181678201710568,0.198292682380922
98945.0214693483,0.171584424250232,0.188153868007017
