"n_tau","PE_before","PE_after"
15045.6225967961,0.935053400007192,0.935053400007192
25045.6225967961,0.872773262895285,0.910097585219687
35045.6225967961,0.805837617232489,0.879522546550963
45045.6225967961,0.727471598643694,0.849066279456035
55045.6225967961,0.639004874583862,0.819221729527533
65045.6225967961,0.545209335287371,0.790404046857725
75045.6225967961,0.450843981860628,0.761816628648867
85045.6225967961,0.359617886895789,0.73481469133843
95045.6225967961,0.275858111859914,0.708009268176485
105045.622596796,0.205420963587403,0.682003399683049
115045.622596796,0.147622815524641,0.657360396630758
125045.622596796,0.103415541546591,0.633030814755684
135045.622596796,0.0693447906863666,0.609279180580154
145045.622596796,0.0464270428885976,0.586348371341021
155045.622596796,0.0290080781798249,0.564456092953922
165045.622596796,0.018586753040794,0.542050225388877
175045.622596796,0.0111801762533481,0.520973430416929
185045.622596796,0.00669559420061322,0.501374347718421
195045.622596796,0.0040528778822275,0.481562020997674
205045.622596796,0.00231927232255077,0.463411949048252
215045.622596796,0.00124619040409807,0.445174687658599
225045.622596796,0.000691893792093987,0.426895845609077
235045.622596796,0.000362690492502574,0.408622290864656
245045.622596796,0.0002017422693361,0.39222027450931
255045.622596796,0.000106943457493115,0.375896792008301
265045.622596796,5.37916226318314e-05,0.361481840459574
275045.622596796,2.97956247882259e-05,0.345403865364778
285045.622596796,1.58670979404343e-05,0.331263055678298
295045.622596796,8.09991528705952e-06,0.317289300431415
305045.622596796,3.95114628083325e-06,0.303506319687351
315045.622596796,1.83537896655406e-06,0.289936960285328
325045.622596796,9.97842504286147e-07,0.276603221784586
335045.622596796,5.25765242592006e-07,0.265146000302616
345045.622596796,2.12431488257849e-07,0.252309589155999
355045.622596796,1.31886455262297e-07,0.241317197767528
365045.622596796,6.25344552165894e-08,0.230560473155132
375045.622596796,2.85038324499082e-08,0.220050147959239
385045.622596796,1.2459621023832e-08,0.209796035722291
395045.622596796,7.00248987292395e-09,0.199806987963139
405045.622596796,2.83796927118845e-09,0.190090835064551
415045.622596796,1.51257570635062e-09,0.180654474747368
425045.622596796,7.87998842465846e-10,0.171503688257804
435045.622596796,4.0087635202999e-10,0.162643269292412
445045.622596796,1.98941840622239e-10,0.154076901396454
455045.622596796,9.6206181307017e-11,0.146970441958552
465045.622596796,4.52840554065545e-11,0.138956611241132
475045.622596796,2.0721900037507e-11,0.131241881202218
485045.622596796,9.20666759572813e-12,0.12382613664566
495045.622596796,3.9662320419087e-12,0.117707001876733
