"n_tau","PE_before","PE_after"
2585.25176092371,0.980189367983529,0.980189367983529
12585.2517609237,0.737374167220557,0.928306201916812
22585.2517609237,0.497871067846503,0.874707180522252
32585.2517609237,0.313730625427482,0.824108369226865
42585.2517609237,0.186167874536784,0.775541087816332
52585.2517609237,0.106078823200225,0.730110297576145
62585.2517609237,0.0565388785519744,0.68672531884602
72585.2517609237,0.0294109105764102,0.645407052542161
82585.2517609237,0.0148740176719228,0.606499664051919
92585.2517609237,0.00759885623932053,0.569769799526549
102585.251760924,0.00347252699815401,0.534519607437938
112585.251760924,0.0016906488909316,0.501313147856462
122585.251760924,0.000748182454112538,0.470611725546823
132585.251760924,0.000335464118544342,0.44112043412049
142585.251760924,0.00015662911343762,0.413063596691103
152585.251760924,6.77749769471287e-05,0.386619864100359
162585.251760924,2.6958762178702e-05,0.361922408672773
172585.251760924,1.16488900838155e-05,0.339060147469559
182585.251760924,5.65973893955079e-06,0.316480966448776
192585.251760924,2.1436918349053e-06,0.295854231058197
202585.251760924,9.29279845595697e-07,0.277173688800493
212585.251760924,3.80584632115467e-07,0.257397260366168
222585.251760924,1.46635341925175e-07,0.241090300748772
232585.251760924,5.29071593871454e-08,0.223799369315296
242585.251760924,2.35214133605237e-08,0.208448311179065
252585.251760924,1.00270910565266e-08,0.19361155411609
262585.251760924,4.08883843032465e-09,0.180597039254841
272585.251760924,1.59081066824847e-09,0.168055628925193
282585.251760924,5.88890331230612e-10,0.156005846337657
292585.251760924,2.06808881975901e-10,0.144463302032793
302585.251760924,9.98179617637043e-11,0.133440369198225
312585.251760924,3.18800668727528e-11,0.123971670274916
322585.251760924,1.43978256201173e-11,0.114935818702748
332585.251760924,6.31982558074776e-12,0.10633513938554
342585.251760924,1.73784430418906e-12,0.0981699376670722
352585.251760924,7.06686269671515e-13,0.0904384089761581
362585.251760924,2.78092523422469e-13,0.0831368079543294
372585.251760924,1.05754396524092e-13,0.0770029173678291
382585.251760924,3.88081481829731e-14,0.0704966491398433
392585.251760924,1.37213983909928e-14,0.0650569506864273
402585.251760924,8.04198143720835e-15,0.0593145920796041
412585.251760924,2.68096928796981e-15,0.0545366497167525
422585.251760924,8.57534589732779e-16,0.0500566052191447
432585.251760924,2.62690560897394e-16,0.0458648590489347
442585.251760924,1.42968948712201e-16,0.0419512375779588
452585.251760924,4.08967938345959e-17,0.0383050872531919
462585.251760924,2.1483783819514e-17,0.0345091143259579
472585.251760924,5.71153343889147e-18,0.031394322206736
482585.251760924,2.88884460162847e-18,0.0285116359587209
492585.251760924,1.44197308248597e-18,0.0258493885896333
