"n_tau","PE_before","PE_after"
453.031527290062,0.998177681659816,0.998177681659816
10453.0315272901,0.897706193723961,0.948873397222375
20453.0315272901,0.764905094117264,0.901640156276142
30453.0315272901,0.634262599339258,0.85643106269968
40453.0315272901,0.508266170396008,0.813132212114636
50453.0315272901,0.403081336542422,0.771491219124108
60453.0315272901,0.313696960271077,0.731584751954943
70453.0315272901,0.239384035696466,0.693443395711786
80453.0315272901,0.182048927835516,0.657403508645325
90453.0315272901,0.135971760661254,0.622597171140164
100453.03152729,0.100536661477784,0.589270531392639
110453.03152729,0.0743185990719137,0.557467133367997
120453.03152729,0.0527551538333251,0.527055420045367
130453.03152729,0.037918803773659,0.497762074427045
140453.03152729,0.0279815442815462,0.469861210760138
150453.03152729,0.020061846912105,0.443580144294938
160453.03152729,0.0139357617199044,0.418434809194868
170453.03152729,0.0101565480414846,0.394556068701503
180453.03152729,0.00722698493590342,0.371385139584083
190453.03152729,0.00501129369234018,0.349665931833677
200453.03152729,0.00337942942765576,0.328802987478136
210453.03152729,0.00246605295714639,0.309489620260782
220453.03152729,0.00157535693697296,0.290477974341148
230453.03152729,0.0011007388390141,0.272444922987701
240453.03152729,0.000753532924486098,0.25600852047664
250453.03152729,0.000504782266300583,0.239955716890208
260453.03152729,0.000381590748272247,0.224326582321397
270453.03152729,0.00024583203508076,0.210265698340567
280453.03152729,0.000180826733973233,0.19662795927753
290453.03152729,0.000111585401872745,0.18343859897058
300453.03152729,7.96422195475779e-05,0.171219648503942
310453.03152729,5.6114215554626e-05,0.159452278693729
320453.03152729,3.90094624028382e-05,0.148612871195504
330453.03152729,2.20221944492943e-05,0.138655767608899
340453.03152729,1.47679792602437e-05,0.128684082028494
350453.03152729,1.20241320180214e-05,0.119570654727213
360453.03152729,7.87687525844527e-06,0.110876072774604
370453.03152729,5.07612002688412e-06,0.102968845595689
380453.03152729,3.21583354882493e-06,0.095095580214721
390453.03152729,2.00138998241161e-06,0.0879700317141436
400453.03152729,1.56803073068571e-06,0.0812217684511693
410453.03152729,9.48855047990951e-07,0.0751411563652697
420453.03152729,7.32716986746457e-07,0.0691141652362366
430453.03152729,4.30342035336628e-07,0.0637080892541824
440453.03152729,3.27237156257976e-07,0.0583740723574545
450453.03152729,1.861837561141e-07,0.0536114519032242
460453.03152729,1.39274988834212e-07,0.0491492458733522
470453.03152729,1.03593148289265e-07,0.0449776586605475
480453.03152729,5.63138553052993e-08,0.0410863130667019
490453.03152729,4.11464856930302e-08,0.0374643419546538
