"n_tau","PE_before","PE_after"
564.22846549907,0.99629775018265,0.99629775018265
4564.22846549907,0.874344345509745,0.975069550482781
8564.22846549907,0.746276462204034,0.953458163035566
12564.2284654991,0.622948184622067,0.932180502240635
16564.2284654991,0.517703612499485,0.911379274214484
20564.2284654991,0.427795622313837,0.890987787055683
24564.2284654991,0.343667278935076,0.87069916094468
28564.2284654991,0.278843880071561,0.85142176393716
32564.2284654991,0.225634579817042,0.832048003441
36564.2284654991,0.184129240853518,0.813158205793365
40564.2284654991,0.146105958097656,0.794632066811439
44564.2284654991,0.112289986258168,0.776131326852292
48564.2284654991,0.088632884905752,0.758743129287729
52564.2284654991,0.0681728134161498,0.7411554077387
56564.2284654991,0.0549544365403987,0.724396891635285
60564.2284654991,0.0435306508270329,0.706829053706671
64564.2284654991,0.033834575655341,0.690423998531786
68564.2284654991,0.0257643055363086,0.674395260829199
72564.2284654991,0.0191879855133175,0.658855898167818
76564.2284654991,0.0155578806846728,0.643913054850378
80564.2284654991,0.0124730980375636,0.628555471188226
84564.2284654991,0.00875457945892219,0.613933960710387
88564.2284654991,0.00680464552511372,0.598976717991521
92564.2284654991,0.00521756515735622,0.584884065612262
96564.2284654991,0.00394362658399987,0.570529477134649
