"n_tau","PE_before","PE_after"
1313.12710315711,0.984033639422269,0.984033639422269
5313.12710315711,0.840911370031789,0.959706400197138
9313.12710315711,0.708063054522152,0.930379011452401
13313.1271031571,0.588538694191815,0.901592689257147
17313.1271031571,0.481050543996166,0.874146416197362
21313.1271031571,0.38906079336651,0.847247812093401
25313.1271031571,0.315868870907622,0.821161533337179
29313.1271031571,0.254445322894286,0.795620484388697
33313.1271031571,0.201158940387736,0.771021821927242
37313.1271031571,0.15670260683347,0.746620395459582
41313.1271031571,0.124687686608331,0.723859648282609
45313.1271031571,0.0963556231860033,0.701504241647041
49313.1271031571,0.0748485150005537,0.679878005891396
53313.1271031571,0.0589416721852292,0.658235002625179
57313.1271031571,0.0453653016747877,0.637830463691471
61313.1271031571,0.0357820622726172,0.617801944139776
65313.1271031571,0.0276934953014362,0.598288820234921
69313.1271031571,0.0209975545768451,0.579420732637076
73313.1271031571,0.0155698056919035,0.561316420123185
77313.1271031571,0.0120463738473797,0.544082002654148
81313.1271031571,0.00916756523331407,0.526549376445446
85313.1271031571,0.00685466394685289,0.510027850080624
89313.1271031571,0.00502951639853695,0.493300643653885
93313.1271031571,0.00393519755300706,0.477702001856992
97313.1271031571,0.00304247697996633,0.463290548876083
