"n_tau","PE_before","PE_after"
42063.5793955246,0.802983482386541,0.802983482386541
46063.5793955246,0.777386508958789,0.784647531251312
50063.5793955246,0.749860478948979,0.766352039763378
54063.5793955246,0.719922448516515,0.748504991521972
58063.5793955246,0.688254890808117,0.730972539096471
62063.5793955246,0.654301247814155,0.713915567525317
66063.5793955246,0.618032645006341,0.697192218963071
70063.5793955246,0.58074190300382,0.680796967520803
74063.5793955246,0.541662466001734,0.66520334332186
78063.5793955246,0.501738903265268,0.649289183048305
82063.5793955246,0.462038988914846,0.634021050568352
86063.5793955246,0.422200308304642,0.619662364241521
90063.5793955246,0.381511016690908,0.604651093476448
94063.5793955246,0.34381384583706,0.589936367209528
98063.5793955246,0.306744016725354,0.576604402781323
