"n_tau","PE_before","PE_after"
2448.37847678085,0.98551403650438,0.98551403650438
6448.37847678085,0.928504208157167,0.965164591446225
10448.3784767809,0.859295808774744,0.94380426162788
14448.3784767809,0.783838362960816,0.923055454328456
18448.3784767809,0.703611825762807,0.902705097994528
22448.3784767809,0.625575109009299,0.88273343409529
26448.3784767809,0.549826738428728,0.863116546923683
30448.3784767809,0.483005454835981,0.843996524868907
34448.3784767809,0.416573330726922,0.825054540800118
38448.3784767809,0.357348236373314,0.806195304039621
42448.3784767809,0.302624840869567,0.787845044738211
46448.3784767809,0.257980329580667,0.770429255448123
50448.3784767809,0.215115663660732,0.752701179206315
54448.3784767809,0.178777640661135,0.735658724687215
58448.3784767809,0.148767098354049,0.718641178999505
62448.3784767809,0.121305489242121,0.702728456858467
66448.3784767809,0.0996107834891554,0.686168160354838
70448.3784767809,0.0828707399587585,0.669994904610906
74448.3784767809,0.0655844908270108,0.654322324583256
78448.3784767809,0.0527088603042045,0.639257874070409
82448.3784767809,0.043330054387103,0.624900898556782
86448.3784767809,0.0351420705362135,0.610199377389362
90448.3784767809,0.0268122285858143,0.595165465638785
94448.3784767809,0.0221098014255233,0.581005132668645
98448.3784767809,0.0171144844534623,0.567797643351995
