"n_tau","PE_before","PE_after"
750.415642847868,0.994892429252366,0.994892429252366
4750.41564284787,0.887696345280143,0.972785762835901
8750.41564284787,0.772661570081437,0.950090015258212
12750.4156428479,0.657664579095263,0.927921893359311
16750.4156428479,0.555176638723886,0.90626485446487
20750.4156428479,0.460158608723814,0.884798533920253
24750.4156428479,0.382515072388298,0.863974793538274
28750.4156428479,0.311871271647314,0.843812777927019
32750.4156428479,0.25075089644407,0.823580662795491
36750.4156428479,0.207287326733832,0.803883426423946
40750.4156428479,0.166868056939367,0.785336148679792
44750.4156428479,0.130319549904331,0.766156607445068
48750.4156428479,0.1033097980961,0.74815537666324
52750.4156428479,0.0841614264792967,0.72997257708155
56750.4156428479,0.0672864325646838,0.712670829816769
60750.4156428479,0.0527014585265288,0.694558857544498
64750.4156428479,0.0403610697053834,0.677669377833798
68750.4156428479,0.0325175579276221,0.661190054581059
72750.4156428479,0.0258138666671004,0.645235688429495
76750.4156428479,0.0185096467751019,0.629914004924682
80750.4156428479,0.0154964482825672,0.614188481972768
84750.4156428479,0.0116916727660821,0.599237059377953
88750.4156428479,0.00865160378918211,0.583963281003908
92750.4156428479,0.00699740368863449,0.56959210248247
96750.4156428479,0.00499769191522963,0.554973830743153
