"n_tau","PE_before","PE_after"
3419.42269073153,0.979521482448955,0.979521482448955
7419.42269073153,0.929472555027272,0.958689160196368
11419.4226907315,0.86905903703477,0.936879581857945
15419.4226907315,0.801151130395998,0.915560496322878
19419.4226907315,0.731736347770133,0.894669371533652
23419.4226907315,0.659107074547453,0.874187685725796
27419.4226907315,0.58829817004445,0.854392698115834
31419.4226907315,0.518911521437282,0.834822516255134
35419.4226907315,0.455093302488905,0.815593174398688
39419.4226907315,0.396152715760719,0.796598035264252
43419.4226907315,0.340072659301141,0.778271253934313
47419.4226907315,0.292188966400197,0.76023143772553
51419.4226907315,0.249299788578774,0.741892318418983
55419.4226907315,0.208183154303833,0.724286039410885
59419.4226907315,0.176418764688721,0.707673355435481
63419.4226907315,0.146791920716139,0.69131611082697
67419.4226907315,0.122553890060519,0.674313975399425
71419.4226907315,0.100517576957165,0.658783123020548
75419.4226907315,0.0808454579174863,0.642765198908003
79419.4226907315,0.0677038193210207,0.627386037992253
83419.4226907315,0.0541407639608122,0.612745012751415
87419.4226907315,0.044017518501729,0.597769460260906
91419.4226907315,0.0352417044046676,0.583660706398428
95419.4226907315,0.0277523579422683,0.569290890221647
99419.4226907315,0.0224357843896979,0.554674197275757
