"n_tau","PE_before","PE_after"
1858.28726775973,0.987867747802596,0.987867747802596
5858.28726775973,0.959933258476455,0.962790767608894
9858.28726775973,0.934517622379073,0.937856173124427
13858.2872677597,0.909890448466573,0.913626307752486
17858.2872677597,0.886354907120589,0.890089311856572
21858.2872677597,0.864126268460331,0.866749000576652
25858.2872677597,0.841953433231456,0.844161387870231
29858.2872677597,0.822519447222245,0.82208181054448
33858.2872677597,0.802634848540759,0.800855290467532
37858.2872677597,0.782625468037091,0.779811443470007
41858.2872677597,0.764691401795877,0.758608399326022
45858.2872677597,0.747546282976402,0.739286563070401
49858.2872677597,0.731494802713074,0.719701739799158
53858.2872677597,0.714674179245243,0.699993721708372
57858.2872677597,0.699324288062507,0.681311467513426
61858.2872677597,0.683387885910082,0.663917312602315
65858.2872677597,0.669266594284864,0.645893374257663
69858.2872677597,0.654726271091712,0.628368699805762
73858.2872677597,0.642295462646833,0.611461329269825
77858.2872677597,0.629586340651124,0.595279861349814
81858.2872677597,0.616606825358383,0.578729204217549
85858.2872677597,0.603365817118658,0.563047850286951
89858.2872677597,0.592591916538242,0.548322039532417
93858.2872677597,0.58166334872914,0.533372268083784
97858.2872677597,0.570586954375257,0.518216460984658
