"n_tau","PE_before","PE_after"
42061.4233272917,0.770140393683579,0.770140393683579
46061.4233272917,0.750920480653401,0.750553382877123
50061.4233272917,0.731858303756393,0.731611387061406
54061.4233272917,0.713161864151565,0.713109531060174
58061.4233272917,0.695215123062536,0.694919583539814
62061.4233272917,0.677611701008334,0.677223127836994
66061.4233272917,0.660269573125803,0.659883143629868
70061.4233272917,0.643660205688098,0.642900908362005
74061.4233272917,0.627275846108202,0.626771195148737
78061.4233272917,0.611354175176827,0.610336000982392
82061.4233272917,0.59612078039227,0.594597203111452
86061.4233272917,0.581244496517914,0.5798242234074
90061.4233272917,0.566295338747452,0.5644122777813
94061.4233272917,0.552509456940228,0.549338579188941
98061.4233272917,0.538861289751252,0.535712349575436
