"ntau","D2","pe"
0,1,0
100,1,0
200,1,0
300,1,0
400,1,0
500,1,0
600,1,0
700,1,0
800,1,0
900,1,0
1000,1,0
1100,1,0
1200,1,0
1300,1,0
1400,1,0
1500,1,0.971225380391338
1600,1,0.967549411573312
1700,1,0.964048068073499
1800,1,0.960774126226789
1900,1,0.957436288486328
2000,1,0.954268572460174
2100,1,0.951087193736923
2200,1,0.947527996213608
2300,1,0.944589469165969
2400,1,0.94140239346346
2500,1,0.93794948178116
2600,1,0.934855703314102
2700,1,0.931553017719562
2800,1,0.928029996276829
2900,1,0.925044123537039
3000,1,0.921902074960119
3100,1,0.918597182720614
3200,1,0.915122158905539
3300,1,0.911468932868478
3400,1,0.908607706029644
3500,1,0.904624330156391
3600,1,0.901506092822314
3700,1,0.898271324861376
3800,1,0.89491680802526
3900,1,0.891438569228104
4000,1,0.889049088818035
4100,1,0.885356109877894
4200,1,0.881528500335274
4300,1,0.878900224031983
4400,1,0.8748397371483
4500,1,0.872052191537208
4600,1,0.869198711172824
4700,1,0.864792186488889
4800,1,0.861768014949264
4900,1,0.858673477860853
5000,1,0.855507075967361
5100,1,0.852267457849627
5200,1,0.848953261607339
5300,1,0.845563115797269
5400,1,0.842095640448058
5500,1,0.838549601789234
5600,1,0.836746396485752
5700,1,0.833079512684673
5800,1,0.829330418885713
5900,1,0.82549771153623
6000,1,0.823549563740481
6100,1,0.819588801750279
6200,1,0.815540914687421
6300,1,0.813483861205211
6400,1,0.809302808845172
6500,1,0.807178312327012
6600,1,0.802860661328883
6700,1,0.800667161534126
6800,1,0.796209808488698
6900,1,0.793945761253398
7000,1,0.78934593236009
7100,1,0.787009815453961
7200,1,0.784649341948065
7300,1,0.77985466771232
7400,1,0.777420284656025
7500,1,0.774960750601575
7600,1,0.769966027898513
7700,1,0.76743052682813
7800,1,0.764869394106428
7900,1,0.762282478341515
8000,1,0.75703070281101
8100,1,0.754365551288624
8200,1,0.751674033435612
8300,1,0.748956009565645
8400,1,0.746211342681703
8500,1,0.74343989859813
8600,1,0.73781629256986
8700,1,0.734963740713528
8800,1,0.732083905562613
8900,1,0.729176534647089
9000,1,0.726241782388885
9100,1,0.723279403160454
9200,1,0.720289289976242
9300,1,0.717271339879132
9400,1,0.714225454088986
9500,1,0.71115153815384
9600,1,0.708049502103764
9700,1,0.704919260607364
9800,1,0.701760733130921
9900,1,0.69857384410006
10000,1,0.695358523064444
10100,1,0.692114832122407
10200,1,0.688842455956307
