"D1","D2","norm_auc"
1,1,0.0621231263155359
1.02,1,0.0641540747724719
1.04,1,0.0657789289288885
1.06,1,0.0670051783736539
1.08,1,0.0678234674018692
1.1,1,0.0682971630939398
1.12,1,0.0684820152096076
1.14,1,0.0685003828497794
1.16,1,0.0682702615269434
1.18,1,0.0678963692003825
1.2,1,0.0674023354631003
1.22,1,0.0667596371641946
1.24,1,0.0661362631357289
1.26,1,0.0655035545446071
1.28,1,0.0647209491136351
1.3,1,0.0639820648162603
1.32,1,0.0632643112444729
1.34,1,0.0624833346186208
1.36,1,0.061682713486675
1.38,1,0.0609647394347717
1.4,1,0.0602612520051008
1.42,1,0.0594735671048439
1.44,1,0.0588165355901469
1.46,1,0.0581359015354754
1.48,1,0.0574503406711362
1.5,1,0.0568741925251279
1.52,1,0.0561788893374185
1.54,1,0.0556151141318218
1.56,1,0.0549620797792879
1.58,1,0.054322747904583
1.6,1,0.0538199099209793
1.62,1,0.0532433022116525
1.64,1,0.0527747388399122
1.66,1,0.052197294924179
1.68,1,0.0517078880153275
1.7,1,0.0513130486873685
1.72,1,0.0507181103812873
1.74,1,0.0503859716919617
1.76,1,0.0498015729695208
1.78,1,0.0495069505988688
1.8,1,0.0491769860811439
1.82,1,0.0486040455563859
1.84,1,0.0484763417288429
1.86,1,0.0479863808622012
1.88,1,0.0476436463366601
1.9,1,0.0473594612052083
1.92,1,0.0471066255816123
1.94,1,0.0467253441385078
1.96,1,0.0463781008639343
1.98,1,0.0459762370010716
2,1,0.0455624059833149
2.02,1,0.0454228392049814
2.04,1,0.0452721160598075
2.06,1,0.0446943577780903
2.08,1,0.0445355642658181
2.1,1,0.0442713669737803
2.12,1,0.0441586532196557
2.14,1,0.0439001879343822
2.16,1,0.0435981956891311
2.18,1,0.0434170926171548
2.2,1,0.0430463768146663
2.22,1,0.0430319172291856
2.24,1,0.042767261031468
2.26,1,0.0424596588050943
2.28,1,0.0422215621626453
2.3,1,0.0421013460265768
2.32,1,0.0419458520128749
2.34,1,0.0416087811175979
2.36,1,0.0414259642042616
2.38,1,0.0415259878865841
2.4,1,0.0412991855636506
2.42,1,0.0410169437404531
2.44,1,0.0410061755321499
2.46,1,0.0407531400836212
2.48,1,0.0406911544624596
2.5,1,0.0403187450765111
2.52,1,0.0402937048418388
2.54,1,0.0401551724954409
2.56,1,0.0398025690536198
