"n_tau","PE_before","PE_after"
2970.43398156446,0.907296764276791,0.907296764276791
6970.43398156446,0.580280372329459,0.969327797373859
10970.4339815645,0.404409753975274,0.960923328396635
14970.4339815645,0.286100178884682,0.949629245269061
18970.4339815645,0.203996189705774,0.937531716530549
22970.4339815645,0.146710216918591,0.925792770951688
26970.4339815645,0.102400946618576,0.913178610451049
30970.4339815645,0.0731483495501791,0.901729924356892
34970.4339815645,0.0522931077918813,0.889742634935529
38970.4339815645,0.0378789108626947,0.877393293223964
42970.4339815645,0.0264664164757608,0.865963332670467
46970.4339815645,0.0190401702175858,0.853579623379981
50970.4339815645,0.0132839616394057,0.842703025627199
54970.4339815645,0.0097227734199356,0.83112751335117
58970.4339815645,0.00695283929000045,0.820230601345141
62970.4339815645,0.0048489486404084,0.808745227271252
66970.4339815645,0.00363579073032044,0.798200706110825
70970.4339815645,0.00268254602048627,0.787184624382925
74970.4339815645,0.00194568715828392,0.775689825297468
78970.4339815645,0.00138588876599243,0.765451265258987
82970.4339815645,0.000968355527828009,0.754853378716509
86970.4339815645,0.000662950310522774,0.743894229060382
90970.4339815645,0.000508847083559065,0.734484841327457
94970.4339815645,0.00033576197144483,0.722862026739199
98970.4339815645,0.000251141774427075,0.71290087138707
