"n_tau","PE_before","PE_after"
3753.56266653777,0.874975807844324,0.874975807844324
7753.56266653777,0.548766123036841,0.956404057514223
11753.5626665378,0.379601880469711,0.951215294611969
15753.5626665378,0.27019921160666,0.940957158020824
19753.5626665378,0.188994504938137,0.929013333747206
23753.5626665378,0.135619200057859,0.916674285904929
27753.5626665378,0.0943306997301823,0.903997627504993
31753.5626665378,0.0667017761702104,0.891819620463506
35753.5626665378,0.0491609772884117,0.879023437565826
39753.5626665378,0.0349791446223418,0.866880785484734
43753.5626665378,0.0239252114022186,0.854741493336823
47753.5626665378,0.0177577781027314,0.842826778418356
51753.5626665378,0.012860744760886,0.830039104471432
55753.5626665378,0.00906899328909986,0.819157683345125
59753.5626665378,0.00621224871355195,0.806203570757843
63753.5626665378,0.00448722443545098,0.795593904809038
67753.5626665378,0.0031717766720066,0.782884298269114
71753.5626665378,0.0024083605332915,0.772937259308955
75753.5626665378,0.00163280810012589,0.760878040436805
79753.5626665378,0.00119926116197085,0.750148936802865
83753.5626665378,0.000867233405014419,0.739056505565723
87753.5626665378,0.000616921811792667,0.72760008430331
91753.5626665378,0.000431321355896994,0.717775952843169
95753.5626665378,0.000336352950172671,0.707700806457413
99753.5626665378,0.000227970813806223,0.69737715762297
