"n_tau","PE_before","PE_after"
6945.33734854971,0.654985776041529,0.654985776041529
10945.3373485497,0.354472069952199,0.725070675619238
14945.3373485497,0.225246951668807,0.689430930276771
18945.3373485497,0.146417710967295,0.646143162050243
22945.3373485497,0.097464821932834,0.602784610303285
26945.3373485497,0.0630107990060685,0.561865426187798
30945.3373485497,0.0430249956605435,0.524475335273916
34945.3373485497,0.028926222790813,0.490037647316987
38945.3373485497,0.0192859808160494,0.457011682840712
42945.3373485497,0.0128585843448298,0.428556522531716
46945.3373485497,0.00865324917493017,0.399879277679124
50945.3373485497,0.00593624427408746,0.376415941696153
54945.3373485497,0.00394874921077768,0.353091161536003
58945.3373485497,0.00271123550432094,0.332577608590967
62945.3373485497,0.00181294823515986,0.312360944582242
66945.3373485497,0.00126861504242291,0.292524401192737
70945.3373485497,0.00086925020346602,0.277943912659083
74945.3373485497,0.000582428485996533,0.261300868594606
78945.3373485497,0.000381057372710682,0.247383448020208
82945.3373485497,0.000266489132094823,0.233815339767326
86945.3373485497,0.000183203642399306,0.220620611733081
90945.3373485497,0.00012369592056388,0.207820791412267
94945.3373485497,9.09967549429337e-05,0.197469681537705
98945.3373485497,5.93879644714786e-05,0.187415411596775
