"ntau","K","pe"
0,1000200,0
100,1000200,0
200,1000200,0
300,1000200,0
400,1000200,0
500,1000200,0
600,1000200,0
700,1000200,0
800,1000200,0
900,1000200,0
1000,1000200,0
1100,1000200,0
1200,1000200,0
1300,1000200,0
1400,1000200,0
1500,1000200,0.981665697995959
1600,1000200,0.981130196313297
1700,1000200,0.980100201531897
1800,1000200,0.97894342251437
1900,1000200,0.977646098860212
2000,1000200,0.976336199360388
2100,1000200,0.974960632353412
2200,1000200,0.973363696268664
2300,1000200,0.972006322566507
2400,1000200,0.970499837427614
2500,1000200,0.968831569094376
2600,1000200,0.967308421520959
2700,1000200,0.965655389622003
2800,1000200,0.963863333522643
2900,1000200,0.962323417379668
3000,1000200,0.960683267999432
3100,1000200,0.958937180350511
3200,1000200,0.957079681294275
3300,1000200,0.955104273461783
3400,1000200,0.953541698225218
3500,1000200,0.95134463000755
3600,1000200,0.949607721543123
3700,1000200,0.947790963357375
3800,1000200,0.945891110925236
3900,1000200,0.94390478892906
4000,1000200,0.942530634669299
4100,1000200,0.940392342153301
4200,1000200,0.938157945861236
4300,1000200,0.936613057209654
4400,1000200,0.934209666296642
4500,1000200,0.932548497375826
4600,1000200,0.930838658372513
4700,1000200,0.928179842440392
4800,1000200,0.926342505027095
4900,1000200,0.924452070761223
5000,1000200,0.922506989946156
5100,1000200,0.920505852893806
5200,1000200,0.91844721977517
5300,1000200,0.916329616544828
5400,1000200,0.914151545379479
5500,1000200,0.911911476416071
5600,1000200,0.910767705971167
5700,1000200,0.908431702894078
5800,1000200,0.906029573257954
5900,1000200,0.903560011686382
6000,1000200,0.902299362200585
6100,1000200,0.89972526936059
6200,1000200,0.897079354353054
6300,1000200,0.895728920239783
6400,1000200,0.892971830887266
6500,1000200,0.89156489299805
6600,1000200,0.8886929391579
6700,1000200,0.88722746620358
6800,1000200,0.884236372849887
6900,1000200,0.88271028525013
7000,1000200,0.87959584788713
7100,1000200,0.87800685860609
7200,1000200,0.876396637841638
7300,1000200,0.873111047829659
7400,1000200,0.871435189549155
7500,1000200,0.869736960702322
7600,1000200,0.866272398006288
7700,1000200,0.864505564263002
7800,1000200,0.862715360259699
7900,1000200,0.860901531753822
8000,1000200,0.857201985384406
8100,1000200,0.855315757325208
8200,1000200,0.853404883535151
8300,1000200,0.851469106038976
8400,1000200,0.849508166048925
8500,1000200,0.847521804033859
8600,1000200,0.843471772522296
8700,1000200,0.841407425091423
8800,1000200,0.839316766048292
8900,1000200,0.837199378794774
9000,1000200,0.835055000958769
9100,1000200,0.832883369994048
9200,1000200,0.830684223274674
9300,1000200,0.828457298192931
9400,1000200,0.826202332260835
9500,1000200,0.823919063215308
9600,1000200,0.821607229127087
9700,1000200,0.819266416789386
9800,1000200,0.816896667495739
9900,1000200,0.814497570518155
10000,1000200,0.812068866429474
10100,1000200,0.809610296739749
10200,1000200,0.807121604029252
10300,1000200,0.804602532085754
10400,1000200,0.802052826046181
10500,1000200,0.802052826046181
10600,1000200,0.799472232542708
10700,1000200,0.796860499853378
10800,1000200,0.794217230966637
10900,1000200,0.791542470977257
11000,1000200,0.78883582808596
11100,1000200,0.786097058753626
11200,1000200,0.783325921910463
11300,1000200,0.783325921910463
11400,1000200,0.780522179135278
11500,1000200,0.777685594839761
11600,1000200,0.774815936457859
11700,1000200,0.771912974640285
11800,1000200,0.771912974640285
11900,1000200,0.768976483454241
12000,1000200,0.766006239501509
12100,1000200,0.763002024359365
12200,1000200,0.759963624627666
12300,1000200,0.759963624627666
12400,1000200,0.756890830143042
12500,1000200,0.753783435237163
12600,1000200,0.750641238968763
12700,1000200,0.750641238968763
12800,1000200,0.747464045361203
12900,1000200,0.744251663645585
13000,1000200,0.744251663645585
13100,1000200,0.741003908509464
13200,1000200,0.737720600351158
13300,1000200,0.734401429517297
13400,1000200,0.734401429517297
13500,1000200,0.731046499781231
13600,1000200,0.727655515114132
13700,1000200,0.727655515114132
13800,1000200,0.724228321413363
13900,1000200,0.720764771643046
14000,1000200,0.720764771643046
14100,1000200,0.717264726122112
14200,1000200,0.713728052817921
14300,1000200,0.713728052817921
14400,1000200,0.710154627645426
14500,1000200,0.706544334771836
14600,1000200,0.706544334771836
14700,1000200,0.702897066926717
14800,1000200,0.702897066926717
14900,1000200,0.699212596208233
15000,1000200,0.695491091704951
15100,1000200,0.695491091704951
15200,1000200,0.691732344980935
15300,1000200,0.687936286223059
15400,1000200,0.687936286223059
15500,1000200,0.684102855810221
15600,1000200,0.684102855810221
15700,1000200,0.680232004654452
15800,1000200,0.680232004654452
15900,1000200,0.676323694546811
16000,1000200,0.672377898507923
16100,1000200,0.672377898507923
16200,1000200,0.668394601143005
16300,1000200,0.668394601143005
16400,1000200,0.664373799001213
16500,1000200,0.664373799001213
16600,1000200,0.660315378630528
16700,1000200,0.656219605593404
